AABL_correct,refactored_correct
0,0
0,0
0,0
1,1
1,1
1,1
2,2
2,2
2,2
3,3
3,3
3,3
3,3
4,4
4,5
5,6
5,6
5,6
6,6
6,7
6,7
6,8
7,9
7,9
8,10
8,10
8,10
9,11
10,12
10,12
10,12
10,12
10,12
10,12
10,12
11,13
11,13
12,14
13,14
13,14
13,14
13,14
13,14
13,14
14,15
15,16
15,16
15,16
15,16
16,17
16,17
17,18
17,18
18,19
19,20
19,20
20,21
20,21
21,22
22,23
23,24
24,25
25,26
25,26
25,26
26,27
26,27
26,27
26,27
27,28
27,28
27,28
27,28
28,29
28,29
29,30
29,30
30,31
30,31
31,32
32,33
32,33
32,33
33,34
33,34
34,35
35,36
36,37
36,37
36,37
37,38
38,39
39,40
39,40
40,41
40,41
41,42
41,42
42,43
43,44
44,45
44,45
44,45
45,46
46,47
47,48
47,48
48,49
48,49
49,50
50,51
50,51
51,52
52,53
53,54
53,54
53,54
54,55
55,56
56,57
57,58
57,58
58,59
59,60
60,61
61,62
61,62
62,63
63,64
64,65
65,66
65,66
66,67
67,68
68,69
69,70
69,70
69,70
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
95,95
96,96
96,96
97,97
97,97
98,98
99,99
100,100
101,101
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
113,113
114,114
115,115
116,116
117,117
118,118
118,118
119,119
120,120
121,121
122,122
123,123
124,124
0,0
0,0
0,0
0,0
1,1
1,2
1,3
1,3
1,3
1,3
2,3
2,4
2,4
2,4
2,4
2,4
3,5
4,5
5,6
6,7
6,7
6,8
6,8
7,9
7,9
7,9
7,10
7,10
7,10
7,10
7,11
8,12
8,12
9,13
9,13
9,13
10,13
10,14
10,14
10,14
10,15
11,16
11,16
11,16
11,17
11,17
11,18
12,19
13,19
13,19
13,19
13,20
14,20
14,20
15,20
16,21
17,22
17,22
18,23
19,24
19,24
20,25
21,26
21,26
22,27
23,28
24,29
25,30
26,31
26,31
27,32
28,33
29,34
29,34
29,34
30,35
30,35
30,35
31,36
32,37
32,37
32,37
32,37
33,38
33,38
34,39
35,40
36,41
37,42
38,43
39,44
39,44
40,45
40,45
40,45
41,46
42,47
42,47
43,48
44,49
45,50
46,51
47,52
48,53
49,54
50,55
50,55
51,56
52,57
53,58
54,59
55,60
56,61
57,62
58,63
59,64
60,65
61,66
61,66
61,66
62,67
63,68
64,69
64,69
64,69
65,70
65,70
66,71
67,72
68,73
69,74
69,74
69,74
69,74
70,75
71,76
