AABL_correct,pseudocode_correct
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,1
1,1
1,2
1,2
1,2
2,3
2,3
2,3
2,4
3,5
4,5
4,6
4,6
4,6
4,6
4,7
5,7
5,7
5,7
6,7
6,7
7,8
8,8
8,9
8,10
9,10
9,10
9,10
10,10
10,10
11,11
11,11
11,11
12,12
13,12
13,12
13,12
14,12
14,12
14,12
15,12
15,13
15,14
16,14
16,14
17,14
18,14
19,15
20,16
21,16
22,17
22,17
23,17
23,17
23,17
23,17
24,17
25,17
25,17
25,17
25,17
26,18
26,18
27,18
28,18
28,18
29,18
30,18
31,18
32,18
32,18
32,18
33,19
33,19
33,20
33,20
34,21
34,21
35,21
36,21
36,21
37,21
38,21
38,21
38,21
39,22
40,22
40,22
41,22
41,22
42,22
43,23
44,24
45,25
45,25
45,26
46,26
47,26
48,27
49,27
50,28
51,29
52,29
52,29
53,30
54,30
55,30
56,31
56,31
56,31
57,31
58,32
59,33
60,33
61,34
62,34
63,35
64,35
64,35
65,36
65,36
65,36
66,37
67,38
68,38
69,38
70,38
70,38
71,39
72,39
73,39
74,40
75,40
76,41
76,41
77,41
78,41
79,41
79,41
80,42
80,42
81,42
82,43
83,44
84,44
84,45
85,45
85,46
86,46
87,47
88,47
89,47
90,47
90,47
91,47
91,47
92,47
92,48
93,48
94,48
95,49
95,49
96,50
97,51
98,51
99,51
100,52
100,52
101,52
101,52
102,52
103,52
104,52
105,52
106,53
107,54
108,54
109,55
110,55
111,56
112,57
113,58
114,58
115,58
116,58
116,59
116,60
117,60
117,60
117,60
118,61
119,62
120,62
0,0
0,0
0,0
0,0
0,1
1,1
1,1
2,1
3,1
3,1
3,1
3,2
3,2
4,3
4,3
4,3
4,3
4,4
4,4
5,4
5,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
7,5
8,6
8,6
8,6
8,7
9,7
9,8
9,8
10,8
11,8
11,8
12,8
13,8
14,9
15,10
15,11
15,11
15,11
15,12
16,12
17,13
18,13
19,14
20,14
21,14
22,15
23,15
23,15
24,16
25,17
26,18
26,18
26,19
27,19
28,19
29,19
29,20
30,21
30,22
31,23
31,23
31,24
31,24
32,25
33,25
33,26
34,26
34,27
34,27
35,28
35,28
36,29
37,30
37,30
37,31
38,31
39,32
39,32
40,33
40,33
41,33
42,33
43,34
44,35
45,35
46,35
46,35
47,35
47,36
47,36
48,36
48,36
49,37
50,37
51,37
52,37
53,37
54,38
54,38
55,39
55,39
55,39
56,40
57,41
58,42
59,42
60,43
60,43
61,44
62,44
63,45
64,45
64,45
65,46
66,46
66,46
67,47
68,47
69,47
69,47
70,48
71,49
72,49
73,50
74,51
74,51
75,51
