AABL_correct,pseudocode_correct
0,0
0,0
1,0
2,1
2,2
3,2
3,3
3,3
4,4
5,4
6,4
7,4
8,5
8,5
8,5
9,5
9,5
10,6
10,7
11,7
12,7
13,7
14,7
15,7
16,8
17,9
18,9
19,9
20,10
21,11
22,12
23,12
24,13
25,14
26,14
27,14
28,15
29,16
30,17
31,17
32,17
33,18
34,19
35,20
36,21
37,22
38,23
39,24
40,25
41,25
42,26
43,26
44,26
45,26
46,26
46,27
47,28
48,29
49,30
50,31
51,32
52,32
53,32
54,33
55,33
56,33
57,33
58,34
59,34
60,35
61,36
62,37
63,37
64,38
65,38
66,39
67,40
68,40
69,41
70,42
71,43
72,44
73,45
74,45
75,45
76,45
77,46
78,47
79,48
80,49
81,49
82,50
83,51
84,51
85,52
86,53
87,54
88,55
89,56
90,57
91,57
92,57
93,58
94,58
95,58
96,59
97,60
98,61
99,62
100,63
101,63
102,63
103,64
104,64
105,65
106,65
107,65
108,66
109,67
110,68
111,69
112,70
113,71
114,72
115,73
116,74
117,74
118,75
119,76
120,77
121,77
122,78
123,79
124,79
125,80
126,81
127,82
128,83
129,83
130,84
131,85
132,86
133,86
134,87
135,88
136,89
137,89
138,90
139,91
140,92
141,92
142,93
143,94
144,94
145,95
146,96
147,97
148,98
149,99
150,100
151,101
152,102
153,103
154,103
155,104
156,104
157,105
158,106
159,107
160,108
161,109
162,110
163,111
164,112
165,113
166,114
167,115
168,116
169,117
170,118
171,119
172,120
173,121
174,122
175,122
176,123
177,124
178,125
179,126
180,127
181,128
182,129
183,130
184,131
185,132
186,133
187,133
188,134
189,135
190,136
0,0
0,0
0,0
0,0
0,1
1,1
2,1
3,1
4,2
5,2
5,3
6,3
7,3
8,4
9,5
10,5
11,5
12,5
13,5
14,6
14,6
14,6
15,7
15,7
16,8
17,8
18,8
19,8
20,8
20,9
21,9
22,10
23,11
24,12
25,12
26,13
27,13
28,14
28,14
29,14
30,14
31,15
32,15
33,16
34,17
35,18
36,18
37,18
38,19
39,20
40,21
41,21
42,21
43,21
44,21
45,21
46,21
47,22
48,22
49,23
50,23
51,23
52,24
53,24
54,24
55,25
56,26
57,26
58,26
59,27
60,27
61,27
62,28
63,28
64,28
65,29
66,30
67,30
68,30
69,30
70,31
71,32
72,33
73,34
74,35
75,36
76,37
77,37
78,37
79,37
80,37
81,37
82,37
83,37
84,38
85,39
86,39
87,39
88,40
89,41
90,42
91,43
92,43
93,43
94,44
95,45
96,45
97,45
98,46
99,47
100,47
101,47
102,47
103,48
104,49
105,50
106,51
107,52
108,52
109,52
110,52
111,53
112,54
113,55
114,56
115,57
116,58
117,59
118,59
119,60
120,61
121,62
122,63
123,63
124,64
